,title,price,location
141,"New ListingDell Inspiron 15 Gaming 7567 15.6"" FHD I5-7300HQ 8GB 256GB Nvidia GTX 1050 WIN10",$299.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
142,New ListingDell Latitude 6430U i5-3437U 1.90GHz 4GB Webcam HDMI Laptop Notebook PC,$150.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
143,"New ListingDell Latitude E5470 14"" Laptop i5-6300U 8GB  RAM 256GB SSD Window 10 Pro",$155.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
144,New ListingDELL Precision 7530 Intel Xeon -2176M @ 2.70GHZ 🚩32GB RAM+ 512GB SSD🚩WIN10 Pro,$989.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
145,FAST Dell Latitude  Laptop Intel 4GB 250GB HDD Win10 Pro,$99.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
146,New ListingDell Latitude 3450 i5 Linux Ubuntu 4GB RAM DDR3 500GB SSD,$150.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
147,"New ListingSamsung Galaxy Book Pro 13.3"" AMOLED (256GB SSD,  i5-1135G7, 8GB) Mystic Blue",$560.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
148,New ListingDell XPS 13 7390 I7 10th Gen 512GB SSD 16GB Fingerprint,$600.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
149,HP Chromebook 14 Laptop Intel 2.16 GHz 4 Memory 16 HD Bluetooth HDMI Webcam WiFi,$149.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
150,"Dell Latitude E7480|""14""|Core i7@2.80 GHz |8GB RAM |256 GB SSD|WIN 10|NVIDIA",$280.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
